serial_number,common_name,scientific_name,iucn_status,wlpa_schedule,analysed_long-term,analysed_current,long-term_trend_(%),long-term_trend_ci_(%),current_annual_change_(%),current_annual_change_ci_(%),"distribution_range_size_(units_of_10,000_sq._km.)","distribution_range_size_ci_(units_of_10,000_sq._km.)",long_term_status,current_status,distribution_status,status_of_conservation_concern,assessed_primarily_based_on,migratory_status,,flyway
104,Square-tailed Drongo Cuckoo,Surniculus lugubris,Least Concern,Schedule-IV,,X,NA,NA,1.509636706,30.15778154,7.3234996,0.1234,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance,,seasia
107,Lesser Cuckoo,Cuculus poliocephalus,Least Concern,Schedule-IV,,X,NA,NA,-17.9638933,12.02983291,7.13088,0.1348,Data Deficient,Strong Decline,Moderate,Moderate,Trends & Range Size,Migratory-Local,,local
109,Himalayan Cuckoo,Cuculus saturatus,Least Concern,Schedule-IV,,X,NA,NA,-9.057814296,7.264461964,7.5513054,0.0587,Data Deficient,Moderate Decline,Moderate,Moderate,Trends & Range Size,Migratory-Local,,local
110,Common Cuckoo,Cuculus canorus,Least Concern,Schedule-IV,X,X,-63.78587332,16.72214051,-8.626514072,5.942571717,37.3311309,0.0789,Moderate Decline,Moderate Decline,Large,Moderate,Trends & Range Size,Migratory-Local,,local
319,European Roller,Coracias garrulus,Least Concern,Schedule-IV,,X,NA,NA,4.469713738,16.7993913,29.0926785,0.094,Data Deficient,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance,,ief
332,Eurasian Wryneck,Jynx torquilla,Least Concern,Schedule-IV,X,X,-43.45489863,97.28294025,0.544771333,29.89042529,33.4187735,0.1122,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance,,ief
394,Black-winged Cuckooshrike,Lalage melaschistos,Least Concern,Schedule-IV,X,X,-31.48133975,73.13252927,10.66107421,25.92241497,6.8181483,0.4417,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Local,,local
395,Black-headed Cuckooshrike,Lalage melanoptera,Least Concern,Schedule-IV,X,X,-49.65610954,14.23629546,2.458081153,5.146203331,24.1818073,0.1247,Moderate Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Migratory-Local,,local
396,Isabelline Shrike,Lanius isabellinus,Least Concern,Schedule-IV,X,X,-38.22737649,65.16362579,0.845989674,18.92938541,26.5891049,0.0856,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance,,ief
397,Brown Shrike,Lanius cristatus,Least Concern,Schedule-IV,X,X,-31.65969458,21.40906528,-6.410456996,4.616742039,85.829809,0.0773,Stable,Moderate Decline,Large,Low,Trends & Range Size,Migratory-Long-Distance,,ief
400,Grey-backed Shrike,Lanius tephronotus,Least Concern,Schedule-IV,X,X,-51.33327238,39.92195932,3.923518703,16.52791016,14.4141362,0.0761,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Local,,local
445,Greater Short-toed Lark,Calandrella brachydactyla,Least Concern,Schedule-IV,X,X,-41.48048751,173.2092345,191.1569978,400.8028466,24.8879322,0.0626,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance,,ief
446,Sykes's Short-toed Lark,Calandrella dukhunensis,Least Concern,Schedule-IV,,,NA,NA,NA,NA,NA,NA,,,,,Trends & Range Size,Migratory-Long-Distance,,china
530,Yellow-browed Warbler,Phylloscopus inornatus,Least Concern,Schedule-IV,,X,NA,NA,-16.02066191,8.595259779,10.189409,0.0724,Data Deficient,Strong Decline,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance,,ief
531,Hume's Leaf Warbler,Phylloscopus humei,Least Concern,Schedule-IV,X,X,-8.630774318,41.16883047,17.06511895,12.29511521,31.8778272,0.0653,Uncertain,Strong Increase,Large,Low,Trends & Range Size,Migratory-Local,,ief/local
532,Brooks's Leaf Warbler,Phylloscopus subviridis,Least Concern,Schedule-IV,,,NA,NA,NA,NA,1.0303289,0.0762,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Migratory-Long-Distance,,local
534,Tytler's Leaf Warbler,Phylloscopus tytleri,Near Threatened,Schedule-IV,,X,NA,NA,-5.119642874,59.3941213,0.5091804,0.0809,Data Deficient,Uncertain,Very Restricted,High,Range Size,Migratory-Local,,local
535,Sulphur-bellied Warbler,Phylloscopus griseolus,Least Concern,Schedule-IV,X,X,-57.95428625,77.78715052,1.69440157,34.58131915,3.6691264,0.1401,Uncertain,Uncertain,Restricted,Moderate,Trends & Range Size,Migratory-Local,,ief
536,Tickell's Leaf Warbler,Phylloscopus affinis,Least Concern,Schedule-IV,X,X,-58.19379719,41.03153609,-2.666037441,16.36466644,11.5493648,0.1181,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Local,,local
537,Dusky Warbler,Phylloscopus fuscatus,Least Concern,Schedule-IV,,X,NA,NA,9.27836963,16.38689438,12.0543778,0.0716,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance,,china
538,Smoky Warbler,Phylloscopus fuligiventer,Least Concern,Schedule-IV,,,NA,NA,NA,NA,0.9812411,0.0854,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Migratory-Local,,china
543,Green-crowned Warbler,Phylloscopus burkii,Least Concern,Schedule-IV,,,NA,NA,NA,NA,1.1469532,0.119,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Migratory-Local,,local
545,Green Leaf Warbler,Phylloscopus nitidus,Least Concern,Schedule-IV,,,NA,NA,NA,NA,NA,NA,,,,,Trends & Range Size,Migratory-Long-Distance,,ief
546,Greenish Leaf Warbler,Phylloscopus trochiloides,Least Concern,Schedule-IV,X,X,-44.81792157,15.11580155,2.745776909,5.350475179,92.1741449,0.0829,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Migratory-Local,,ief
547,Large-billed Leaf Warbler,Phylloscopus magnirostris,Least Concern,Schedule-IV,X,X,-89.45766778,37.43067081,-7.836144327,54.51039883,9.9697666,0.0466,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Migratory-Local,,china
550,Western Crowned Leaf Warbler,Phylloscopus occipitalis,Least Concern,Schedule-IV,X,X,-73.16810773,20.54345429,3.944375775,16.12427603,5.1219082,0.074,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Migratory-Local,,local
553,Thick-billed Warbler,Arundinax aedon,Least Concern,Schedule-IV,,X,NA,NA,-4.958077173,10.2423579,12.3188724,0.0882,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance,,china
554,Booted Warbler,Iduna caligata,Least Concern,Schedule-IV,X,X,-16.32459103,26.71989824,6.940539048,6.828270045,77.7502227,0.0914,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance,,ief
555,Sykes's Warbler,Iduna rama,Least Concern,Schedule-IV,,,NA,NA,NA,NA,NA,NA,,,,,Trends & Range Size,Migratory-Long-Distance,,ief
556,Paddyfield Warbler,Acrocephalus agricola,Least Concern,Schedule-IV,X,X,-29.75321848,42.9331597,7.421891509,13.40078375,31.8446093,0.0964,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance,,ief
