Scientific name,Common name,Total observations (2015-2019),flyway.x,serial_number,common_name,iucn_status,wlpa_schedule,analysed_long-term,analysed_current,long-term_trend_(%),long-term_trend_ci_(%),current_annual_change_(%),current_annual_change_ci_(%),"distribution_range_size_(units_of_10,000_sq._km.)","distribution_range_size_ci_(units_of_10,000_sq._km.)",long_term_status,current_status,distribution_status,status_of_conservation_concern,assessed_primarily_based_on,migratory_status,V20,flyway.y
Acrocephalus agricola,Paddyfield Warbler,5401,ief,556,Paddyfield Warbler,Least Concern,Schedule-IV,X,X,-29.75321848,42.9331597,7.421891509,13.40078375,31.8446093,0.0964,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance,,ief
Acrocephalus dumetorum,Blyth's Reed Warbler,86071,ief,557,Blyth's Reed Warbler,Least Concern,Schedule-IV,X,X,18.50057811,30.29982752,2.108742939,4.774623533,117.090513,0.0751,Uncertain,Uncertain,Very Large,Low,Trends & Range Size,Migratory-Long-Distance,,ief
Anthus campestris,Tawny Pipit,5992,ief,818,Tawny Pipit,Least Concern,Schedule-IV,X,X,-69.75499277,25.56572139,-2.236819299,14.10193829,50.249065,0.0947,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Migratory-Long-Distance,,ief/caf
Anthus trivialis,Tree Pipit,8684,ief,822,Tree Pipit,Least Concern,Schedule-IV,X,X,-50.48980175,73.04767642,5.820917845,32.00670844,56.7402774,0.1116,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Local,,ief/caf
Calandrella brachydactyla,Greater Short-toed Lark,2270,ief,445,Greater Short-toed Lark,Least Concern,Schedule-IV,X,X,-41.48048751,173.2092345,191.1569978,400.8028466,24.8879322,0.0626,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance,,ief
Carpodacus erythrinus,Common Rosefinch,11122,ief,827,Common Rosefinch,Least Concern,Schedule-IV,X,X,-23.23421205,33.7514851,1.042418144,7.874055218,40.8606015,0.0832,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Local,,ief
Coracias garrulus,European Roller,2574,ief,319,European Roller,Least Concern,Schedule-IV,"",X,,,4.469713738,16.7993913,29.0926785,0.094,Data Deficient,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance,,ief
Emberiza buchanani,Gray-necked Bunting,1838,ief,849,Grey-necked Bunting,Least Concern,Schedule-IV,"",X,,,-1.535670762,33.68062333,13.5539488,0.0738,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance,,ief/caf
Emberiza melanocephala,Black-headed Bunting,2030,ief,845,Black-headed Bunting,Least Concern,Schedule-IV,"",X,,,20.7166663,20.43194599,15.7617643,0.0767,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance,,ief
Ficedula parva,Red-breasted Flycatcher,16195,ief,730,Red-breasted Flycatcher,Least Concern,Schedule-IV,X,X,-28.1023891,24.68786799,-4.365819942,5.384234384,68.8682703,0.0899,Stable,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance,,ief
Iduna caligata,Booted Warbler,16034,ief,554,Booted Warbler,Least Concern,Schedule-IV,X,X,-16.32459103,26.71989824,6.940539048,6.828270045,77.7502227,0.0914,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance,,ief
Iduna rama,Sykes's Warbler,6897,ief,555,Sykes's Warbler,Least Concern,Schedule-IV,"","",,,,,,,"","","","",Trends & Range Size,Migratory-Long-Distance,,ief
Jynx torquilla,Eurasian Wryneck,4174,ief,332,Eurasian Wryneck,Least Concern,Schedule-IV,X,X,-43.45489863,97.28294025,0.544771333,29.89042529,33.4187735,0.1122,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance,,ief
Lanius cristatus,Brown Shrike,38229,ief,397,Brown Shrike,Least Concern,Schedule-IV,X,X,-31.65969458,21.40906528,-6.410456996,4.616742039,85.829809,0.0773,Stable,Moderate Decline,Large,Low,Trends & Range Size,Migratory-Long-Distance,,ief
Lanius isabellinus,Isabelline Shrike,4341,ief,396,Isabelline Shrike,Least Concern,Schedule-IV,X,X,-38.22737649,65.16362579,0.845989674,18.92938541,26.5891049,0.0856,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance,,ief
Luscinia svecica,Bluethroat,10987,ief,704,Bluethroat,Least Concern,Schedule-IV,X,X,-30.78167807,31.34653464,1.554945665,8.274098858,56.4738304,0.0895,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Local,,ief
Motacilla flava,Western Yellow Wagtail,39037,ief,810,Western Yellow Wagtail,Least Concern,Schedule-IV,X,X,-28.2877013,16.12466794,-0.451225185,3.741949546,126.7591155,0.1037,Stable,Uncertain,Very Large,Low,Trends & Range Size,Migratory-Long-Distance,,ief
