Scientific name,Common name,Total observations (2015-2019),flyway.x,serial_number,common_name,iucn_status,wlpa_schedule,analysed_long-term,analysed_current,long-term_trend_(%),long-term_trend_ci_(%),current_annual_change_(%),current_annual_change_ci_(%),"distribution_range_size_(units_of_10,000_sq._km.)","distribution_range_size_ci_(units_of_10,000_sq._km.)",long_term_status,current_status,distribution_status,status_of_conservation_concern,assessed_primarily_based_on,migratory_status,V20,flyway.y
Cuculus canorus,Common Cuckoo,5012,local,110,Common Cuckoo,Least Concern,Schedule-IV,X,X,-63.78587332,16.72214051,-8.626514072,5.942571717,37.3311309,0.0789,Moderate Decline,Moderate Decline,Large,Moderate,Trends & Range Size,Migratory-Local,,local
Cuculus poliocephalus,Lesser Cuckoo,874,local,107,Lesser Cuckoo,Least Concern,Schedule-IV,"",X,,,-17.9638933,12.02983291,7.13088,0.1348,Data Deficient,Strong Decline,Moderate,Moderate,Trends & Range Size,Migratory-Local,,local
Cuculus saturatus,Himalayan Cuckoo,1883,local,109,Himalayan Cuckoo,Least Concern,Schedule-IV,"",X,,,-9.057814296,7.264461964,7.5513054,0.0587,Data Deficient,Moderate Decline,Moderate,Moderate,Trends & Range Size,Migratory-Local,,local
Cyornis rubeculoides,Blue-throated Flycatcher,4542,local,691,Blue-throated Flycatcher,Least Concern,Schedule-IV,X,X,-42.2105301,59.6574022,3.386826005,21.55420847,5.0494669,0.0856,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Local,,local
Emberiza lathami,Crested Bunting,2798,local,844,Crested Bunting,Least Concern,Schedule-IV,X,X,-62.53565476,18.24747338,-12.40644879,5.35015162,10.4925361,0.0692,Moderate Decline,Strong Decline,Moderate,Moderate,Trends & Range Size,Migratory-Local,,local
Eumyias thalassinus,Verditer Flycatcher,18371,local,699,Verditer Flycatcher,Least Concern,Schedule-IV,X,X,1.284337806,31.58249918,0.955545011,5.567790484,11.7349202,0.0522,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Local,,local
Ficedula ruficauda,Rusty-tailed Flycatcher,2290,local,727,Rusty-tailed Flycatcher,Least Concern,Schedule-IV,X,X,-74.78777703,85.15668954,-10.97549311,41.27207491,1.7892248,0.1978,Uncertain,Uncertain,Restricted,Moderate,Trends & Range Size,Migratory-Local,,local
Ficedula subrubra,Kashmir Flycatcher,155,local,729,Kashmir Flycatcher,Vulnerable,Schedule-IV,"","",,,,,0.9338504,0.0429,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Migratory-Local,,local
Ficedula superciliaris,Ultramarine Flycatcher,5336,local,726,Ultramarine Flycatcher,Least Concern,Schedule-IV,X,X,-31.00748865,36.85065313,-0.933982617,9.330842399,6.7374955,0.0593,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Local,,local
Geokichla wardii,Pied Thrush,428,local,757,Pied Thrush,Least Concern,Schedule-IV,"","",,,,,1.0138856,0.1341,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Migratory-Local,,local
